x_coord,y_coord,green
726.0341969,1269.981205,0.134933472
726.0341969,1269.981205,0.209498088
737.165285,1207.411853,0.096822103
737.165285,1207.411853,0.157450358
746.7404145,1147.0738,0.177256266
746.7404145,1147.0738,0.151026408
755.1186528,1095.196091,0.192179362
755.1186528,1095.196091,0.177866618
774.388601,979.7263501,0.287384033
774.388601,979.7263501,0.25487264
774.388601,979.7263501,0.287384033
774.388601,979.7263501,0.25487264
788.2725389,911.3928079,0.31203715
788.2725389,911.3928079,0.047836304
790.3072539,884.4312743,0.273885091
790.3072539,884.4312743,0.089457194
794.3766839,854.7735873,0.21905009
794.3766839,854.7735873,0.055664063
798.9248705,819.3517103,0.236282349
798.9248705,819.3517103,0.046183268
806.2259067,773.4241323,0.132105509
806.2259067,773.4241323,0.057647705
811.8512953,737.7233429,0.187957764
811.8512953,737.7233429,0.031778971
815.2025907,720.2448315,0.055124919
815.2025907,720.2448315,0.065348307
819.511399,699.0474878,0.102503459
819.511399,699.0474878,0.032786051
822.0248705,677.8501441,0.074483236
822.0248705,677.8501441,0.028152466
827.2911917,656.9317128,0.10025533
827.2911917,656.9317128,0.036382039
831.1212435,629.7842376,0.088831584
831.1212435,629.7842376,0.041173299
834.1134715,610.0744268,0.075429281
834.1134715,610.0744268,0.028015137
837.7041451,586.6457837,0.124282837
837.7041451,586.6457837,0.031051636
846.0823834,532.2578624,0.248291016
846.0823834,532.2578624,0.035425822
846.0823834,532.2578624,0.248291016
846.0823834,532.2578624,0.035425822
856.4953368,474.4300213,0.17926534
856.4953368,474.4300213,0.134480794
863.3176166,436.776845,0.141682943
863.3176166,436.776845,0.091369629
869.9005181,396.613457,0.057622274
869.9005181,396.613457,0.115493774
878.5181347,346.2232803,0.06165568
878.5181347,346.2232803,0.067382813
890.1279793,272.8693146,0.057281494
890.1279793,272.8693146,0.069513957
900.7803109,210.485904,0.26028951
900.7803109,210.485904,0.047108968
906.4056995,172.5538153,0.207356771
906.4056995,172.5538153,0.121231079
914.7839378,123.6511715,0.223571777
914.7839378,123.6511715,0.089625041
888.2129534,89.99573988,0.30792745
888.2129534,89.99573988,0.145121257
848.4761658,75.12041098,0.254389445
848.4761658,75.12041098,0.061726888
813.526943,64.61470994,0.174992879
813.526943,64.61470994,0.120925903
786.5968912,72.33128681,0.246688843
786.5968912,72.33128681,0.07707723
754.4005181,88.04335296,0.208109538
754.4005181,88.04335296,0.130315145
723.2813472,101.5241198,0.215357463
723.2813472,101.5241198,0.138727824
678.3979275,106.2656309,0.287038167
678.3979275,106.2656309,0.269348145
623.7,101.8030322,0.172241211
623.7,101.8030322,0.167872111
575.8243523,98.549054,0.250493368
575.8243523,98.549054,0.099828084
524.3580311,94.27239694,0.285837809
524.3580311,94.27239694,0.112340291
463.5559585,89.06603183,0.205830892
463.5559585,89.06603183,0.144749959
411.1321244,84.78937477,0.248296102
411.1321244,84.78937477,0.163864136
349.0134715,77.0727979,0.240427653
349.0134715,77.0727979,0.14902242
304.1300518,73.35396567,0.296554565
304.1300518,73.35396567,0.157984416
249.4321244,68.61245458,0.120702108
249.4321244,68.61245458,0.079854329
205.0274611,63.59203107,0.254659017
205.0274611,63.59203107,0.123321533
226.8108808,1033.370505,0.183741252
226.8108808,1033.370505,0.181081136
212.0891192,951.556196,0.196350098
212.0891192,951.556196,0.335418701
156.673057,846.778098,0.198354085
156.673057,846.778098,0.125823975
279.9528497,748.6009272,0.125203451
279.9528497,748.6009272,0.12840271
273.8487047,625.9724345,0.108016968
273.8487047,625.9724345,0.279764811
385.1595855,777.6078186,0.185724894
385.1595855,777.6078186,0.107259115
462.957513,777.3289062,0.284484863
462.957513,777.3289062,0.263300578
461.2818653,700.8139331,0.061757406
461.2818653,700.8139331,0.042633057
480.3124352,853.3790252,0.229619344
480.3124352,853.3790252,0.153193156
422.9813471,918.3656183,0.153065999
