green,yy,xx
0.130315145,88.04335296,739.4005181
0.215357463,101.5241198,738.2813472
0.138727824,101.5241198,708.2813472
0.287038167,106.2656309,693.3979275
0.269348145,106.2656309,663.3979275
0.172241211,101.8030322,638.7
0.167872111,101.8030322,608.7
0.250493368,98.549054,590.8243523
0.099828084,98.549054,560.8243523
0.285837809,94.27239694,539.3580311
0.112340291,94.27239694,509.3580311
0.205830892,89.06603183,478.5559585
0.144749959,89.06603183,448.5559585
0.248296102,84.78937477,426.1321244
0.163864136,84.78937477,396.1321244
0.240427653,77.0727979,364.0134715
0.14902242,77.0727979,334.0134715
0.296554565,73.35396567,319.1300518
0.157984416,73.35396567,289.1300518
0.120702108,68.61245458,264.4321244
0.079854329,68.61245458,234.4321244
0.254659017,63.59203107,220.0274611
0.123321533,63.59203107,190.0274611
0.183741252,1018.370505,226.8108808
0.181081136,1048.370505,226.8108808
0.196350098,951.556196,227.0891192
0.335418701,951.556196,197.0891192
0.198354085,846.778098,171.673057
0.125823975,846.778098,141.673057
0.125203451,748.6009272,294.9528497
0.12840271,748.6009272,264.9528497
0.108016968,610.9724345,273.8487047
0.279764811,640.9724345,273.8487047
0.185724894,777.6078186,400.1595855
0.107259115,777.6078186,370.1595855
0.284484863,762.3289062,462.957513
0.263300578,792.3289062,462.957513
0.061757406,685.8139331,461.2818653
0.042633057,715.8139331,461.2818653
0.229619344,838.3790252,480.3124352
0.153193156,868.3790252,480.3124352
0.153065999,903.3656183,422.9813471
0.166051229,933.3656183,422.9813471
0.169733683,987.1323142,395.0937824
0.235275269,1017.132314,395.0937824
0.241917928,1149.180429,354.9979275
0.153498332,1179.180429,354.9979275
0.179214478,1138.892369,412.2481865
0.176778158,1138.892369,382.2481865
0.103612264,1146.887859,462.6373057
0.161092122,1146.887859,432.6373057
0.087753296,1091.445558,450.3901554
0.217173258,1121.445558,450.3901554
0.135075887,1149.3051,507.7601036
0.058598836,1149.3051,477.7601036
0.174072266,1188.693021,512.7481865
0.190129598,1218.693021,512.7481865
0.174072266,1188.693021,512.7481865
0.190129598,1218.693021,512.7481865
0.085927327,1112.363989,530.2227979
0.282460531,1142.363989,530.2227979
0.175994873,794.5897757,610.653886
0.274012248,824.5897757,610.653886
0.249094645,763.9094098,622.6227979
0.105316162,793.9094098,622.6227979
0.155604045,765.428643,658.9274611
0.19565328,765.428643,628.9274611
0.110473633,771.0068914,688.8497409
0.08748881,771.0068914,658.8497409
0.212122599,775.004636,713.1466321
0.058792114,775.004636,683.1466321
0.25213623,780.0250595,747.8564767
0.113683065,780.0250595,717.8564767
0.207021077,783.7438917,766.6476684
0.105997721,783.7438917,736.6476684
0.18027242,786.7189575,793.4580311
0.14386495,786.7189575,763.4580311
0.27003479,131.2430773,642.1321244
0.101593018,161.2430773,642.1321244
0.215342204,192.9756923,624.8968912
0.14159139,222.9756923,624.8968912
0.229654948,263.2616214,594.9746114
0.253097534,293.2616214,594.9746114
0.293604533,315.6041849,584.3222798
0.254435221,345.6041849,584.3222798
0.27990214,359.0532515,640.3756477
0.183598836,359.0532515,610.3756477
0.273061117,407.3663701,650.2709845
0.071751912,437.3663701,650.2709845
0.125055949,488.6228543,611.0129534
0.190750122,518.6228543,611.0129534
0.198974609,565.44844,627.688601
0.301457723,565.44844,597.688601
0.215148926,137.1319384,410.0937824
0.227305094,137.1319384,380.0937824
0.38999939,161.676231,448.1549223
0.269719442,161.676231,418.1549223
0.38999939,161.676231,448.1549223
0.269719442,161.676231,418.1549223
0.248174032,169.6717203,537.3233161
0.297210693,169.6717203,507.3233161
0.24134318,149.9619095,577.0601036
0.313329061,149.9619095,547.0601036
0.265940348,215.102744,428.7264249
0.115865072,245.102744,428.7264249
0.133539836,214.173036,441.4134715
0.187667847,244.173036,441.4134715
0.144917806,212.2523493,193.4564767
0.109888713,212.2523493,163.4564767
0.185801188,213.7398822,232.953886
0.099456787,213.7398822,202.953886
0.121607463,226.1979702,286.6943005
0.118789673,226.1979702,256.6943005
0.18598938,229.7308608,324.1569948
0.103790283,229.7308608,294.1569948
0.177047729,193.2546047,333.6932642
0.262481689,223.2546047,333.6932642
0.19148763,289.5110888,341.392228
0.170883179,289.5110888,311.392228
0.124704997,296.7628117,380.4108808
0.118398031,296.7628117,350.4108808
0.169509888,329.7357474,361.8202073
0.166890462,359.7357474,361.8202073
0.194793701,360.6950257,276.3621762
0.073974609,390.6950257,276.3621762
0.211156209,354.032828,330.1414508
0.182729085,354.032828,300.1414508
0.105682373,411.8606691,310.3927461
0.160359701,411.8606691,280.3927461
0.182510376,376.4070918,336.2067358
0.240020752,406.4070918,336.2067358
0.208028158,448.4911665,315.1803109
0.172770182,448.4911665,285.1803109
0.189142863,467.9220649,271.3740933
0.091567993,467.9220649,241.3740933
0.127894084,462.157875,213.8036269
0.177769979,462.157875,183.8036269
