no,dir,green,x,y,xx,yy
68,s,0.091369629,863.3176166,436.776845,848.3176166,436.776845
69,n,0.057622274,869.9005181,396.613457,884.9005181,396.613457
69,s,0.115493774,869.9005181,396.613457,854.9005181,396.613457
70,n,0.06165568,878.5181347,346.2232803,893.5181347,346.2232803
70,s,0.067382813,878.5181347,346.2232803,863.5181347,346.2232803
71,n,0.057281494,890.1279793,272.8693146,905.1279793,272.8693146
71,s,0.069513957,890.1279793,272.8693146,875.1279793,272.8693146
72,n,0.26028951,900.7803109,210.485904,915.7803109,210.485904
72,s,0.047108968,900.7803109,210.485904,885.7803109,210.485904
73,n,0.207356771,906.4056995,172.5538153,921.4056995,172.5538153
73,s,0.121231079,906.4056995,172.5538153,891.4056995,172.5538153
74,n,0.223571777,914.7839378,123.6511715,929.7839378,123.6511715
74,s,0.089625041,914.7839378,123.6511715,899.7839378,123.6511715
75,e,0.30792745,888.2129534,89.99573988,888.2129534,74.99573988
75,w,0.145121257,888.2129534,89.99573988,888.2129534,104.9957399
76,e,0.254389445,848.4761658,75.12041098,848.4761658,60.12041098
76,w,0.061726888,848.4761658,75.12041098,848.4761658,90.12041098
77,e,0.174992879,813.526943,64.61470994,813.526943,49.61470994
77,w,0.120925903,813.526943,64.61470994,813.526943,79.61470994
78,e,0.246688843,786.5968912,72.33128681,786.5968912,57.33128681
78,w,0.07707723,786.5968912,72.33128681,786.5968912,87.33128681
79,e,0.208109538,754.4005181,88.04335296,754.4005181,73.04335296
79,w,0.130315145,754.4005181,88.04335296,754.4005181,103.043353
80,e,0.215357463,723.2813472,101.5241198,723.2813472,86.5241198
80,w,0.138727824,723.2813472,101.5241198,723.2813472,116.5241198
81,e,0.287038167,678.3979275,106.2656309,678.3979275,91.2656309
81,w,0.269348145,678.3979275,106.2656309,678.3979275,121.2656309
82,e,0.172241211,623.7,101.8030322,623.7,86.8030322
82,w,0.167872111,623.7,101.8030322,623.7,116.8030322
83,e,0.250493368,575.8243523,98.549054,575.8243523,83.549054
83,w,0.099828084,575.8243523,98.549054,575.8243523,113.549054
84,e,0.285837809,524.3580311,94.27239694,524.3580311,79.27239694
84,w,0.112340291,524.3580311,94.27239694,524.3580311,109.2723969
85,e,0.205830892,463.5559585,89.06603183,463.5559585,74.06603183
85,w,0.144749959,463.5559585,89.06603183,463.5559585,104.0660318
86,e,0.248296102,411.1321244,84.78937477,411.1321244,69.78937477
86,w,0.163864136,411.1321244,84.78937477,411.1321244,99.78937477
87,e,0.240427653,349.0134715,77.0727979,349.0134715,62.0727979
87,w,0.14902242,349.0134715,77.0727979,349.0134715,92.0727979
88,e,0.296554565,304.1300518,73.35396567,304.1300518,58.35396567
88,w,0.157984416,304.1300518,73.35396567,304.1300518,88.35396567
89,e,0.120702108,249.4321244,68.61245458,249.4321244,53.61245458
89,w,0.079854329,249.4321244,68.61245458,249.4321244,83.61245458
90,e,0.254659017,205.0274611,63.59203107,205.0274611,48.59203107
90,w,0.123321533,205.0274611,63.59203107,205.0274611,78.59203107
91,n,0.183741252,226.8108808,1033.370505,241.8108808,1033.370505
91,s,0.181081136,226.8108808,1033.370505,211.8108808,1033.370505
92,e,0.196350098,212.0891192,951.556196,212.0891192,936.556196
92,w,0.335418701,212.0891192,951.556196,212.0891192,966.556196
93,e,0.198354085,156.673057,846.778098,156.673057,831.778098
93,w,0.125823975,156.673057,846.778098,156.673057,861.778098
94,e,0.125203451,279.9528497,748.6009272,279.9528497,733.6009272
94,w,0.12840271,279.9528497,748.6009272,279.9528497,763.6009272
95,n,0.108016968,273.8487047,625.9724345,288.8487047,625.9724345
95,s,0.279764811,273.8487047,625.9724345,258.8487047,625.9724345
96,e,0.185724894,385.1595855,777.6078186,385.1595855,762.6078186
96,w,0.107259115,385.1595855,777.6078186,385.1595855,792.6078186
97,n,0.284484863,462.957513,777.3289062,477.957513,777.3289062
97,s,0.263300578,462.957513,777.3289062,447.957513,777.3289062
98,n,0.061757406,461.2818653,700.8139331,476.2818653,700.8139331
98,s,0.042633057,461.2818653,700.8139331,446.2818653,700.8139331
99,n,0.229619344,480.3124352,853.3790252,495.3124352,853.3790252
99,s,0.153193156,480.3124352,853.3790252,465.3124352,853.3790252
100,n,0.153065999,422.9813471,918.3656183,437.9813471,918.3656183
100,s,0.166051229,422.9813471,918.3656183,407.9813471,918.3656183
101,n,0.169733683,395.0937824,1002.132314,410.0937824,1002.132314
101,s,0.235275269,395.0937824,1002.132314,380.0937824,1002.132314
102,n,0.241917928,354.9979275,1164.180429,369.9979275,1164.180429
102,s,0.153498332,354.9979275,1164.180429,339.9979275,1164.180429
103,e,0.179214478,397.2481865,1138.892369,397.2481865,1123.892369
103,w,0.176778158,397.2481865,1138.892369,397.2481865,1153.892369
104,e,0.103612264,447.6373057,1146.887859,447.6373057,1131.887859
104,w,0.161092122,447.6373057,1146.887859,447.6373057,1161.887859
105,n,0.087753296,450.3901554,1106.445558,465.3901554,1106.445558
105,s,0.217173258,450.3901554,1106.445558,435.3901554,1106.445558
106,e,0.135075887,492.7601036,1149.3051,492.7601036,1134.3051
106,w,0.058598836,492.7601036,1149.3051,492.7601036,1164.3051
107,n,0.174072266,512.7481865,1203.693021,527.7481865,1203.693021
107,s,0.190129598,512.7481865,1203.693021,497.7481865,1203.693021
108,n,0.174072266,512.7481865,1203.693021,527.7481865,1203.693021
108,s,0.190129598,512.7481865,1203.693021,497.7481865,1203.693021
109,n,0.085927327,530.2227979,1127.363989,545.2227979,1127.363989
109,s,0.282460531,530.2227979,1127.363989,515.2227979,1127.363989
110,n,0.175994873,610.653886,809.5897757,625.653886,809.5897757
110,s,0.274012248,610.653886,809.5897757,595.653886,809.5897757
111,n,0.249094645,622.6227979,778.9094098,637.6227979,778.9094098
111,s,0.105316162,622.6227979,778.9094098,607.6227979,778.9094098
112,e,0.155604045,643.9274611,765.428643,643.9274611,750.428643
112,w,0.19565328,643.9274611,765.428643,643.9274611,780.428643
113,e,0.110473633,673.8497409,771.0068914,673.8497409,756.0068914
113,w,0.08748881,673.8497409,771.0068914,673.8497409,786.0068914
114,e,0.212122599,698.1466321,775.004636,698.1466321,760.004636
114,w,0.058792114,698.1466321,775.004636,698.1466321,790.004636
115,e,0.25213623,732.8564767,780.0250595,732.8564767,765.0250595
115,w,0.113683065,732.8564767,780.0250595,732.8564767,795.0250595
116,e,0.207021077,751.6476684,783.7438917,751.6476684,768.7438917
116,w,0.105997721,751.6476684,783.7438917,751.6476684,798.7438917
117,e,0.18027242,778.4580311,786.7189575,778.4580311,771.7189575
117,w,0.14386495,778.4580311,786.7189575,778.4580311,801.7189575
118,n,0.27003479,642.1321244,146.2430773,657.1321244,146.2430773
118,s,0.101593018,642.1321244,146.2430773,627.1321244,146.2430773
119,n,0.215342204,624.8968912,207.9756923,639.8968912,207.9756923
119,s,0.14159139,624.8968912,207.9756923,609.8968912,207.9756923
120,n,0.229654948,594.9746114,278.2616214,609.9746114,278.2616214
120,s,0.253097534,594.9746114,278.2616214,579.9746114,278.2616214
121,n,0.293604533,584.3222798,330.6041849,599.3222798,330.6041849
121,s,0.254435221,584.3222798,330.6041849,569.3222798,330.6041849
122,e,0.27990214,625.3756477,359.0532515,625.3756477,344.0532515
122,w,0.183598836,625.3756477,359.0532515,625.3756477,374.0532515
123,n,0.273061117,650.2709845,422.3663701,665.2709845,422.3663701
123,s,0.071751912,650.2709845,422.3663701,635.2709845,422.3663701
124,n,0.125055949,611.0129534,503.6228543,626.0129534,503.6228543
124,s,0.190750122,611.0129534,503.6228543,596.0129534,503.6228543
125,e,0.198974609,612.688601,565.44844,612.688601,550.44844
125,w,0.301457723,612.688601,565.44844,612.688601,580.44844
126,e,0.215148926,395.0937824,137.1319384,395.0937824,122.1319384
